v_name,v_link,v_img,v_dur,v_num_play,v_time,u_link,u_id,v_id,aid,cid,reply,danmu,favorite,coin,share,like,tname,tag,tag_num
【华晨宇】【欲向踩点】“想变成雪落在先生的肩上”,https://www.bilibili.com/video/BV1kJ411r7FR?from=search,https://i0.hdslb.com/bfs/archive/83436e8bfd020c034f17f41c73da3ae9d05d66df.jpg@480w_300h_1c.webp,171,269000,2019-12-15,https://space.bilibili.com/98549983?from=search,98549983,BV1kJ411r7FR,79261362,135638658,1450,3522,17357,11514,3868,17865,粉丝创作,明星*华晨宇*花花*飒飒*十爷*立风*欲*踩点*剪辑*饭制*Se?orita,11
【华晨宇】2021火星演唱会 12.3 《好想我回来啊》,https://www.bilibili.com/video/BV15Q4y1i7tK?from=search,https://i0.hdslb.com/bfs/archive/2e84d11020aa3b8ed669bb7f87164a31b5d119c1.jpg@480w_300h_1c.webp,646,77000,2021-12-04,https://space.bilibili.com/12012145?from=search,12012145,BV15Q4y1i7tK,719515343,454151184,584,675,4669,2906,1108,7272,音乐现场,音乐现场*华晨宇*演唱会*LIVE*火星演唱会*华语现场,6
离人愁原唱弹不出华晨宇的题目被淘汰，李宇春：这歌是他写的吗,https://www.bilibili.com/video/BV1ts411n7F6?from=search,https://i1.hdslb.com/bfs/archive/29ca07cb744b15c66155fb25f184e5186fac4df1.png@480w_300h_1c.webp,154,1058000,2018-07-09,https://space.bilibili.com/297242160?from=search,297242160,BV1ts411n7F6,26479688,45516425,1693,965,1389,207,420,5323,明星综合,明星*综艺*华晨宇*李宇春*明日之子*选秀*离人愁*李袁杰,8
张碧晨：要不是为了女儿，不想再见华晨宇！邓紫棋：当初瞎了眼,https://www.bilibili.com/video/BV1AL41157AL?from=search,https://i0.hdslb.com/bfs/archive/4716867d91c3c134b4259cc16cd10437d1d7293e.jpg@480w_300h_1c.webp,147,124000,2022-01-08,https://space.bilibili.com/1344715992?from=search,1344715992,BV1AL41157AL,465526674,479746431,6,1,99,8,0,201,明星综合,明星,1
【年末优秀个人舞台reaction】开心一下！刘雨昕 Baby I Know /华晨宇 走一起去看日出吧/张艺兴 莲 飞天/薛之谦 狐狸 安利向,https://www.bilibili.com/video/BV16Y411a73X?from=search,https://i2.hdslb.com/bfs/archive/a0823d00c19eaf5dbce47ddc1b428e8ab3856a8a.jpg@480w_300h_1c.webp,160320,16000,2022-01-06,https://space.bilibili.com/34467057?from=search,34467057,BV16Y411a73X,252921310,478596087,270,734,105,162,9,759,娱乐杂谈,明星*娱乐花式安利官*张艺兴*薛之谦*华晨宇*刘雨昕*舞台*REACTION*必剪创作*影娱哔哔官,10
毛不易能唱哭日本国宝级歌手，为何感动不了中国观众？%毛不易 %薛之谦 %华晨宇 （三）,https://www.bilibili.com/video/BV1gL411c7ES?from=search,https://i1.hdslb.com/bfs/archive/47749c8a81a4f253a3962cdd096118b8d312e827.jpg@480w_300h_1c.webp,155,626000,2022-01-16,https://space.bilibili.com/1416165576?from=search,1416165576,BV1gL411c7ES,465629727,485388258,972,651,2621,235,60,76140,娱乐杂谈,明星*虚拟UP主召集令*音乐*虚拟形象星光计划*消愁*毛不易*打卡挑战*必剪创作*影娱哔哔官*Z+观创团,10
【华晨宇】《七重人格》演唱会音质强Live,https://www.bilibili.com/video/BV1eJ411m7rM?from=search,https://i1.hdslb.com/bfs/archive/18cdbb3a4b0e9e7fcddc651464879e485b1fb96c.jpg@480w_300h_1c.webp,455,1707000,2019-11-19,https://space.bilibili.com/400479198?from=search,400479198,BV1eJ411m7rM,76207047,130351633,5692,11717,42167,18429,22960,46979,明星综合,音乐现场*明星*华晨宇*花花*演唱会*LIVE,6
【华晨宇】王牌对王牌第四季合集,https://www.bilibili.com/video/BV1vb411C7nU?from=search,https://i0.hdslb.com/bfs/archive/d50388cfa2ee06437a1dad924ff9165e5472ed24.jpg@480w_300h_1c.webp,42064,828000,2019-01-29,https://space.bilibili.com/17899671?from=search,17899671,BV1vb411C7nU,41981972,88085080,925,31651,18687,3623,1555,12073,综艺,明星*综艺*搞笑,3
如果把华晨宇《好想爱这个世界啊》改成小调版,https://www.bilibili.com/video/BV1DK411H7Hv?from=search,https://i2.hdslb.com/bfs/archive/19e84731f5af67a5021790deb339075a500049e7.jpg@480w_300h_1c.webp,326,452000,2020-05-24,https://space.bilibili.com/148883019?from=search,148883019,BV1DK411H7Hv,498366891,194665630,1879,2264,26661,24347,7270,32219,翻唱,翻唱*华晨宇*好想爱这个世界啊*花花*改编*bilibili新星计划,6
【华晨宇2017十大现场】已更新【续篇】排名不分先后,https://www.bilibili.com/video/BV1zW411J7gf?from=search,https://i1.hdslb.com/bfs/archive/d763602a09940bb1c06a29b0198dd3bd2000b1a4.jpg@480w_300h_1c.webp,6662,349000,2018-02-06,https://space.bilibili.com/4482049?from=search,4482049,BV1zW411J7gf,19226854,31356089,2848,13849,21457,8557,4331,12512,音乐现场,音乐现场*华晨宇*live*齐天*十大现场*华晨宇演唱会*开口跪*演唱会*寻*齐天大圣*卡西莫多的礼物*长笛*RAP,13
【我们宅一起】王牌家族连线 沈腾卡成油画 华晨宇爆料贾玲关晓彤吃鸡不带他,https://www.bilibili.com/video/BV1H7411u79b?from=search,https://i1.hdslb.com/bfs/archive/e19ee99c9b1f8f4e99a53fd994c1e0363e79ee1a.jpg@480w_300h_1c.webp,487,658000,2020-02-24,https://space.bilibili.com/504672822?from=search,504672822,BV1H7411u79b,91410059,156090212,759,4296,8662,4003,1634,24337,综艺,综艺*华晨宇*贾玲*关晓彤*沈腾*我们宅一起,6
蓝光【天籁之战】华晨宇 - 易燃易爆炸（立体声）收藏版,https://www.bilibili.com/video/BV1rs411F7oj?from=search,https://i1.hdslb.com/bfs/archive/a2a98b9da929747503e8cc9778263144bcf0de26.jpg@480w_300h_1c.webp,226,501000,2018-08-28,https://space.bilibili.com/363868038?from=search,363868038,BV1rs411F7oj,30482557,53195052,343,776,12758,2162,3259,11568,音乐现场,音乐现场*华晨宇*开口跪*花花*天籁之战*歌曲*高音质*音乐*听歌*现场*音乐选集,11
华晨宇狠批《离人愁》原唱获赞，可这个选手的最终回应太让人失望！,https://www.bilibili.com/video/BV1ts411n7jA?from=search,https://i0.hdslb.com/bfs/archive/f198b4c04e5ce2e36b19f9056eb96f5fbe68391a.jpg@480w_300h_1c.webp,83,1662000,2018-07-09,https://space.bilibili.com/294605980?from=search,294605980,BV1ts411n7jA,26478804,45514820,3301,1246,1268,268,438,7191,综艺,综艺*华晨宇*明日之子2*离人愁*李袁杰,5
时尚的主题【华晨宇】《Why Nobody Fights》班杰明小哥-03,https://www.bilibili.com/video/BV1Mb4y1s7Fv?from=search,https://i2.hdslb.com/bfs/archive/a56874cae89da80562e474abebb31da362f2b880.jpg@480w_300h_1c.webp,395,2557,2022-03-10,https://space.bilibili.com/67199308?from=search,67199308,BV1Mb4y1s7Fv,637199097,545855554,32,18,20,83,5,455,音乐综合,华晨宇*音乐*外国人反应*反应视频*华晨宇reaction,5
华晨宇张碧晨未婚生子！没塌房全靠同行衬托，这瓜越吃越黑...【丝评时事8】,https://www.bilibili.com/video/BV1zp4y1W7ki?from=search,https://i0.hdslb.com/bfs/archive/65f96d49db62713b47910841a38744e7f0befa09.jpg@480w_300h_1c.webp,336,414000,2021-01-23,https://space.bilibili.com/180537674?from=search,180537674,BV1zp4y1W7ki,971339206,286209430,2322,3912,1899,4254,1871,31731,娱乐杂谈,明星*趣味吐槽*人物*华晨宇*张碧晨*打卡挑战,6
走，一起去看日出吧（2021火星演唱会现场版）- 华晨宇,https://www.bilibili.com/video/BV1TL411E7GX?from=search,https://i0.hdslb.com/bfs/archive/25ac7aff5077559fec0a89f120735fc3f39ba4c2.jpg@480w_300h_1c.webp,962,534000,2021-12-08,https://space.bilibili.com/490346911?from=search,490346911,BV1TL411E7GX,464748156,456943806,6451,17206,24271,38577,15287,31779,音乐现场,音乐现场*华晨宇*火星演唱会*走，一起去看日出吧*花花*LIVE*音乐,7
华晨宇治愈三部曲《走，一起去看日出吧》《花落时相遇》《好想我回来啊》,https://www.bilibili.com/video/BV1GL41177Tp?from=search,https://i2.hdslb.com/bfs/archive/16d7a2c2ae5df7ea66c68e344a76333315e277bf.jpg@480w_300h_1c.webp,1048,169000,2021-11-30,https://space.bilibili.com/399247719?from=search,399247719,BV1GL41177Tp,464532527,454275877,631,496,6876,2083,1785,6318,音乐现场,音乐现场*花花*LIVE*音乐*华晨宇*火星演唱会,6
【华晨宇×华人晚会｜汇总】虎年的“小日出”，一起去看吧(2022),https://www.bilibili.com/video/BV1L3411E7j1?from=search,https://i0.hdslb.com/bfs/archive/c3096e397d4fc485ab9d156438f351a4cef07e9b.jpg@480w_300h_1c.webp,917,32000,2022-01-31,https://space.bilibili.com/331479384?from=search,331479384,BV1L3411E7j1,423666867,499365447,104,481,772,249,111,2159,明星综合,音乐现场*华晨宇*全球华侨华人*春节*晚会*走，一起去看日出吧,6
【华晨宇】太杰出了《火星演唱会2021》Part1 墨镜大叔-25,https://www.bilibili.com/video/BV1bR4y1L78X?from=search,https://i0.hdslb.com/bfs/archive/9f6624a28e13b8c5f286daa63ac8b2caa8e9297e.jpg@480w_300h_1c.webp,739,11000,2022-02-17,https://space.bilibili.com/67199308?from=search,67199308,BV1bR4y1L78X,339057254,510657866,59,44,49,168,5,788,音乐综合,华晨宇*音乐*外国人反应*反应视频*华晨宇reaction,5
【华晨宇】路人听华晨宇写抑郁症的歌《好想爱这个世界啊》，最安静的一次reaction,https://www.bilibili.com/video/BV1PJ41197ry?from=search,https://i0.hdslb.com/bfs/archive/7be6165cb61b70b625cf322d6a8f8330b07f5cfe.jpg@480w_300h_1c.webp,902,532000,2019-11-27,https://space.bilibili.com/1718674?from=search,1718674,BV1PJ41197ry,77247424,132131112,1333,2569,3589,5593,1309,14463,综艺,综艺*华晨宇*好想爱这个世界啊*火星三部曲*火星演唱会*reaction*音乐,7
他就是会让我们哭【华晨宇】《好想我回来啊》姨妈-04,https://www.bilibili.com/video/BV1BF411t7Z6?from=search,https://i0.hdslb.com/bfs/archive/9109886aa8381331f60130444e4e3d7f33affbf8.jpg@480w_300h_1c.webp,1029,11000,2022-02-24,https://space.bilibili.com/67199308?from=search,67199308,BV1BF411t7Z6,296821400,515586017,52,28,49,194,10,917,音乐综合,华晨宇*音乐*外国人反应*反应视频*华晨宇reaction,5
【华晨宇】2016火星巡回演唱会9.16场次 深圳站全程,https://www.bilibili.com/video/BV1ys411t7Z9?from=search,https://i2.hdslb.com/bfs/archive/4c5693091950ad98406b93e78bd9179288666cfb.jpg@480w_300h_1c.webp,19655,788000,2016-09-25,https://space.bilibili.com/4579858?from=search,4579858,BV1ys411t7Z9,6404723,10553910,4706,86745,42787,10744,8646,20316,音乐现场,音乐现场*华晨宇*华晨宇演唱会*华晨宇LIVE*华晨宇yu*华晨宇音乐*演唱会*超强现场王*LIVE*live*音乐*全程无尿点,12
超治愈的一首歌 韩国人也觉得很感动！华晨宇为抑郁症群体所作的歌《好想爱这个世界啊》韩国人反应 REACTION,https://www.bilibili.com/video/BV1m7411e78L?from=search,https://i1.hdslb.com/bfs/archive/da59193ca6279e3ace4ed4e9a94fac853252a966.jpg@480w_300h_1c.webp,705,768000,2020-01-23,https://space.bilibili.com/403637965?from=search,403637965,BV1m7411e78L,84637066,144752292,367,2744,2676,3127,256,14639,娱乐杂谈,华晨宇*好想爱这个世界啊*好想爱这个世界啊现场*好想爱这个世界啊华晨宇*好想爱这个世界啊忧郁症*好想爱这个世界啊reaction*好想爱这个世界啊歌词*好想爱这个世界啊外国人*好想爱这个世界啊反应*欧巴Studio,10
给韩国人看男明星高音天花板，周深、张杰、林俊杰，华晨宇谁的唱歌最好！,https://www.bilibili.com/video/BV16i4y127hL?from=search,https://i0.hdslb.com/bfs/archive/7c7505cd6b06184d318908ad703f56f8844c7e99.jpg@480w_300h_1c.webp,257,19000,2022-02-24,https://space.bilibili.com/25623760?from=search,25623760,BV16i4y127hL,551796788,515680810,95,172,53,85,8,761,明星综合,娱你在一起*华晨宇*林俊杰*KOREA相关*张杰*周深*外国人反应*REACTION*必剪创作*影娱哔哔官,10
对不住了华晨宇，你的火星特饮好喝的秘方被我拿捏了，完美复刻，雪碧原来还能这样做！,https://www.bilibili.com/video/BV1eg411w7aa?from=search,https://i0.hdslb.com/bfs/archive/a480682e231b135de9eab08973e4b621cbe4c08d.jpg@480w_300h_1c.webp,279,41000,2021-12-12,https://space.bilibili.com/283469370?from=search,283469370,BV1eg411w7aa,507364450,459800891,563,277,3646,3831,582,5934,日常,音乐现场*美食*华晨宇*演唱会*生活记录*VLOG*复刻,7
【音乐分析】我们该怎么夸华晨宇？《七重人格》编曲分析,https://www.bilibili.com/video/BV1mE411g786?from=search,https://i0.hdslb.com/bfs/archive/15aa2c170134d90868b23cfc4f2dc2109c530cda.jpg@480w_300h_1c.webp,836,237000,2020-03-08,https://space.bilibili.com/21833607?from=search,21833607,BV1mE411g786,94576698,161454509,1832,7478,10913,24832,2707,26918,音乐综合,演奏*华晨宇*七重人格*编曲*花花*吉他*斗牛*荒野魂斗罗*知识分享官*音乐*现场,11
For Forever（2019火星演唱会现场版）- 华晨宇,https://www.bilibili.com/video/BV1A44y1Y7Co?from=search,https://i1.hdslb.com/bfs/archive/a8ac7fb692d233234a984e9d93028c62189ab982.jpg@480w_300h_1c.webp,518,120000,2021-11-19,https://space.bilibili.com/490346911?from=search,490346911,BV1A44y1Y7Co,976790012,444452004,1888,4385,9173,15048,3257,13033,音乐现场,音乐现场*华晨宇*火星演唱会*For Forever*花花*LIVE*音乐,7
2021华晨宇火星演唱会 11.26 a1视角全程 音质绝佳 歌王野飞了,https://www.bilibili.com/video/BV1LS4y1X7mb?from=search,https://i2.hdslb.com/bfs/archive/330264edbfa407644ceafb795c911ceb30beaff7.jpg@480w_300h_1c.webp,13536,289000,2021-11-27,https://space.bilibili.com/22354103?from=search,22354103,BV1LS4y1X7mb,721991463,449417045,934,10001,17914,6614,2771,16001,音乐现场,音乐现场*华晨宇*华语现场*LIVE*火星演唱会,5
【华晨宇/七重人格】这一次 会有不一样的结局吗？,https://www.bilibili.com/video/BV155411s7UK?from=search,https://i1.hdslb.com/bfs/archive/c048cba0b188ed667b6117047898630b13a34492.jpg@480w_300h_1c.webp,408,189000,2020-05-14,https://space.bilibili.com/290799191?from=search,290799191,BV155411s7UK,455641759,190712676,1920,3269,18298,28526,4599,23640,粉丝创作,明星*华晨宇*七重人格*影视剪辑*bilibili新星计划,5
【华晨宇】当华晨宇唱到“我”就切歌,https://www.bilibili.com/video/BV1Jf4y1F7sw?from=search,https://i1.hdslb.com/bfs/archive/b46b1c652b4ffffe0b4d03ee247a45c58f84a73b.jpg@480w_300h_1c.webp,632,48000,2022-01-20,https://space.bilibili.com/266939896?from=search,266939896,BV1Jf4y1F7sw,380839893,488533755,481,1881,1350,996,395,3718,音乐现场,音乐现场*华晨宇*演唱会*音乐*花花*明星*现场,7
【刘哔】华晨宇张碧晨未婚生子！晋江文照进现实？“好爸爸”能有什么坏心眼呢！,https://www.bilibili.com/video/BV18K4y1p7Ks?from=search,https://i2.hdslb.com/bfs/archive/46572f57aa76294dcf10cbe0d976fed638276984.jpg@480w_300h_1c.webp,593,778000,2021-01-28,https://space.bilibili.com/27218150?from=search,27218150,BV18K4y1p7Ks,886481763,289032568,4051,6784,2734,7014,3105,49493,娱乐杂谈,明星*娱你在一起*搞笑*娱乐*华晨宇*吐槽*娱乐圈*歌手*打卡挑战*张碧晨,10
《谁是卧底》【已完结】【直男向|杀手向】【华晨宇水仙剧】,https://www.bilibili.com/video/BV1LJ411372T?from=search,https://i2.hdslb.com/bfs/archive/8245ed1fc978b935f1d9b2309d99355ca305b23b.jpg@480w_300h_1c.webp,11475,350000,2019-09-19,https://space.bilibili.com/8287573?from=search,8287573,BV1LJ411372T,68275430,122937998,5200,34633,12770,10295,3073,11161,粉丝创作,明星*华晨宇*hcy148*华晨宇水仙剧*水仙向*花花*剪辑*混剪,8
华晨宇写歌怒怼黑粉PK周董写给狗仔的歌，谁更胜一筹呢？,https://www.bilibili.com/video/BV1vr4y1U7Uh?from=search,https://i1.hdslb.com/bfs/archive/2076c6a4e73950694c685f32fffdcaee4f4e5def.jpg@480w_300h_1c.webp,178,365000,2021-12-17,https://space.bilibili.com/482463311?from=search,482463311,BV1vr4y1U7Uh,764995615,462666645,418,179,1282,127,15,1519,音乐综合,乐评盘点,1
以一首《母系社会》对战华晨宇惜败却让我们记住了她！,https://www.bilibili.com/video/BV1nW411v7oX?from=search,https://i1.hdslb.com/bfs/archive/af47d485dff2dec318b6b1a655f78ab144f4d855.jpg@480w_300h_1c.webp,192,816000,2018-01-17,https://space.bilibili.com/114040080?from=search,114040080,BV1nW411v7oX,18398946,30030920,1824,934,13557,1963,1299,26515,综艺,综艺*华晨宇*范媛媛*母系社会*张惠妹*天籁之战,6
黄霄雲-升key版《烟火里的尘埃》 cover华晨宇,https://www.bilibili.com/video/BV1fE411F7at?from=search,https://i0.hdslb.com/bfs/archive/bbe1d65c7a57be913fd47db4fe3d0490b74b1a1a.jpg@480w_300h_1c.webp,322,596000,2020-03-23,https://space.bilibili.com/37884259?from=search,37884259,BV1fE411F7at,98464926,168088332,1754,2510,8439,2390,1801,10481,翻唱,翻唱*黄霄雲*华晨宇*烟火里的尘埃*歌手*COVER,6
把杨幂唱哭被华晨宇嘲讽的毛不易，却获薛之谦力保,https://www.bilibili.com/video/BV1cq4y1H7ar?from=search,https://i0.hdslb.com/bfs/archive/bb26b4fc1d88fcd20b9d5cfea4e94b984a8b295f.jpg@480w_300h_1c.webp,433,2050000,2021-08-11,https://space.bilibili.com/1242302654?from=search,1242302654,BV1cq4y1H7ar,547266529,386955841,2219,1622,5140,2103,380,48363,娱乐杂谈,明星*娱乐之王·高能点评官*杨幂*薛之谦*华晨宇*明日之子*毛不易,7
【二胡】华晨宇新歌《小镇里的花》,https://www.bilibili.com/video/BV18P4y1V74G?from=search,https://i2.hdslb.com/bfs/archive/f5772939dfa8d6ffed7aa4ae87290842e61f408d.jpg@480w_300h_1c.webp,225,96000,2021-11-28,https://space.bilibili.com/14283375?from=search,14283375,BV18P4y1V74G,891978359,450371868,749,298,5125,5592,1921,7594,演奏,演奏*音乐*二胡*纯音乐,4
治愈系日文版《好想爱这个世界啊》翻唱 「华晨宇」,https://www.bilibili.com/video/BV1hJ41147EE?from=search,https://i0.hdslb.com/bfs/archive/18d27554a103dacbd4e2ba80d817ca26c157454d.jpg@480w_300h_1c.webp,276,11555000,2019-12-21,https://space.bilibili.com/3493304?from=search,3493304,BV1hJ41147EE,80128837,137230470,8677,40669,670676,575175,146398,789685,翻唱,翻唱*外语翻唱*日文翻唱*华晨宇*治愈向,5
韩国人眼里的华语乐坛神话华晨宇，飙高音惊呆EXO和少女时代,https://www.bilibili.com/video/BV1cs411p7kn?from=search,https://i0.hdslb.com/bfs/archive/01cf4252896a2f58a95dbcc1f08f8cf6a32781fe.jpg@480w_300h_1c.webp,168,1041000,2018-07-06,https://space.bilibili.com/103402909?from=search,103402909,BV1cs411p7kn,26256553,45083162,630,1297,1969,107,131,2720,明星综合,华晨宇*娱人制造*明星,3
与火星的孩子对话 - 华晨宇,https://www.bilibili.com/video/BV1ME411e78w?from=search,https://i1.hdslb.com/bfs/archive/93fd210d1796b1b2e1c90f3206f88f4b4b271b4a.jpg@480w_300h_1c.webp,329,682000,2019-11-11,https://space.bilibili.com/32708543?from=search,32708543,BV1ME411e78w,75349543,128883257,5610,18904,35838,42212,10724,47966,MV,华语MV*MV*华晨宇*与火星的孩子对话,4
当华晨宇与陈奕迅同唱浮夸，实力歌手和流量歌手的差距有多大,https://www.bilibili.com/video/BV19b4y1i7ye?from=search,https://i1.hdslb.com/bfs/archive/2e7e0e67529da0e79eb455235e1d5eb9f3b4b058.jpg@480w_300h_1c.webp,145,775000,2021-12-15,https://space.bilibili.com/161709873?from=search,161709873,BV19b4y1i7ye,634778908,461156979,1148,1186,1491,284,1165,6078,音乐综合,乐评盘点*华晨宇*浮夸*陈奕迅*实力歌手*流量明星,6
治愈系音乐盒版华晨宇《花落时相遇》2021火星演唱会新歌首唱【治愈三部曲】第二部曲：希望篇,https://www.bilibili.com/video/BV1Zr4y1e7Fq?from=search,https://i0.hdslb.com/bfs/archive/a28dfc7c5ac4f02393223cb47ba769efe991cc14.jpg@480w_300h_1c.webp,377,64000,2022-01-07,https://space.bilibili.com/432449745?from=search,432449745,BV1Zr4y1e7Fq,765477335,479438195,1180,200,5149,5474,955,7749,演奏,演奏*治愈向*温暖*全能音乐挑战赛*音乐*治愈*治愈系*放松*钢琴演奏*2022新年音乐大作战*纯音乐,11
外国人问这是什么音乐流派？【华晨宇】《双节棍》菲律賓二姝-2,https://www.bilibili.com/video/BV1dF411x7CJ?from=search,https://i1.hdslb.com/bfs/archive/7be1a2c5e258279b8733bbce0e75e8c48cc971da.jpg@480w_300h_1c.webp,694,9730,2022-03-05,https://space.bilibili.com/67199308?from=search,67199308,BV1dF411x7CJ,297016012,541858776,53,56,44,149,5,759,音乐综合,华晨宇*音乐*外国人反应*反应视频*华晨宇reaction,5
Here We Are（2019火星演唱会现场版）- 华晨宇,https://www.bilibili.com/video/BV1a341187Wg?from=search,https://i0.hdslb.com/bfs/archive/0fad84c4ea83159a4758d15355c7d06747f58301.jpg@480w_300h_1c.webp,347,124000,2021-11-12,https://space.bilibili.com/490346911?from=search,490346911,BV1a341187Wg,421672719,440585776,2723,4057,9609,16296,4670,13104,音乐现场,音乐现场*华晨宇*花花*火星演唱会*Here We Are*LIVE*音乐,7
【巴黎欧莱雅】【华晨宇】欧莱雅莫吉托护发精油,https://www.bilibili.com/video/BV1zL411A75m?from=search,https://i2.hdslb.com/bfs/archive/328f26e49d3b2e5a08abccb8431c62e2adc7bcc1.jpg@480w_300h_1c.webp,16,1924,2022-03-09,https://space.bilibili.com/192560116?from=search,192560116,BV1zL411A75m,467168961,545669668,31,8,95,21,8,415,明星综合,华晨宇*花花,2
【华晨宇】电影《悟空传》主题曲MV《齐天》,https://www.bilibili.com/video/BV1px411a7PM?from=search,https://i0.hdslb.com/bfs/archive/a128d7d3e303315dfb0ed76d2511d620a78003c5.jpg@480w_300h_1c.webp,283,845000,2017-06-05,https://space.bilibili.com/2423927?from=search,2423927,BV1px411a7PM,11083947,18349822,2034,4601,20706,4901,5392,10391,预告 资讯,华晨宇*电影《悟空传》主题曲MV《齐天》*作曲 / 演唱 / 和声：华晨宇*彭于晏*原著作者/合作作词：今何在*编曲 / 制作人：郑楠*作词：丁彦雪 / 今何在 / 房昊*倪妮*欧豪*导演：郭子健*余文乐,11
【初中生翻唱】好想爱这个世界啊.Cover:华晨宇,https://www.bilibili.com/video/BV1MJ411t7bf?from=search,https://i2.hdslb.com/bfs/archive/96ca568491cbc63ae481e7ca8c9bd7fb218becf9.jpg@480w_300h_1c.webp,116,6760000,2019-12-18,https://space.bilibili.com/396806711?from=search,396806711,BV1MJ411t7bf,79728578,136448865,4987,12513,118881,81243,20461,323557,翻唱,30天vlog挑战*翻唱*00后*女声*COVER*初中生*自制,7
【华晨宇】《好想爱这个世界啊》绘世界挑战赛：你会为他的世界填满色彩吗？,https://www.bilibili.com/video/BV1FJ411q7mJ?from=search,https://i2.hdslb.com/bfs/archive/bcc3bebcbac425a087e15016ced266df4d22392b.jpg@480w_300h_1c.webp,265,262000,2019-12-07,https://space.bilibili.com/400479198?from=search,400479198,BV1FJ411q7mJ,78341524,134048974,726,1444,16138,9742,5229,21786,明星综合,明星*华晨宇*好想爱这个世界啊*花花*音乐,5
素人高能演唱《孩子》华晨宇（看）听后会惊讶吗？【手绘pv】,https://www.bilibili.com/video/BV1CJ411u7wU?from=search,https://i0.hdslb.com/bfs/archive/8e88158ab513fa7ff7a4fbc2c5d309bcdd14f921.jpg@480w_300h_1c.webp,325,464000,2019-09-21,https://space.bilibili.com/33276577?from=search,33276577,BV1CJ411u7wU,68463096,118655492,824,2066,6942,12682,2042,20405,翻唱,绘画*翻唱*华晨宇*孩子*灵魂画手*手绘*高音*歌手赛道*男声*原创pv,10
【Reaction】刺激的小视频 华晨宇《愿》血腥爱情故事+疯人院 Watching Yu,https://www.bilibili.com/video/BV12S4y1S7m1?from=search,https://i1.hdslb.com/bfs/archive/f69206e991e90af04f152908d80c994dd7707aef.jpg@480w_300h_1c.webp,716,759,2022-03-10,https://space.bilibili.com/12104051?from=search,12104051,BV12S4y1S7m1,724687639,546288038,39,22,7,55,0,164,娱乐杂谈,娱乐花式安利官*华晨宇*花花*REACTION*疯人院*打卡挑战*娱乐花式安利官第二期,7
花火｜我们的故事一定会讲到老「华晨宇」2021演唱会甜向,https://www.bilibili.com/video/BV1yi4y197Va?from=search,https://i2.hdslb.com/bfs/archive/1cf3b08ee239bd33cfdbcfebff53eb5e54705bf4.jpg@480w_300h_1c.webp,173,50000,2021-12-25,https://space.bilibili.com/12514818?from=search,12514818,BV1yi4y197Va,550033430,467872922,624,879,5593,4995,738,7951,粉丝创作,明星*华晨宇*火星演唱会*娱乐花式安利官*音乐*娱乐*歌手,7
【华晨宇】20180908鸟巢9万人大合唱《烟火里的尘埃》看台拍，荡涤你的心灵,https://www.bilibili.com/video/BV1KW411o7mm?from=search,https://i2.hdslb.com/bfs/archive/7d6d09f277b72d6a9d74d69b8399314d7001cbac.jpg@480w_300h_1c.webp,598,442000,2018-09-09,https://space.bilibili.com/25575291?from=search,25575291,BV1KW411o7mm,31388065,54815705,714,3513,16475,8625,4345,17176,音乐现场,音乐现场*华晨宇*演唱会*烟火里的尘埃*ET天团*音乐*LIVE,7
震惊！！！校园十佳歌手冠军返场华晨宇《疯人院》 高度复刻歌手版疯人院现场！！！！,https://www.bilibili.com/video/BV1JL4y1p7Pd?from=search,https://i1.hdslb.com/bfs/archive/e913f0f3345fb401c2a3b01d31d38cad77c2cf96.jpg@480w_300h_1c.webp,349,92000,2021-11-24,https://space.bilibili.com/491815719?from=search,491815719,BV1JL4y1p7Pd,849399121,448035581,878,784,1983,4014,467,8764,音乐现场,音乐现场*翻唱*华晨宇*演唱会*疯人院*音乐超新星,6
韩国人听华晨宇的“烟火里的尘埃”的反应，又可爱又厉害！,https://www.bilibili.com/video/BV1QW411m7G7?from=search,https://i2.hdslb.com/bfs/archive/7462dfd7870f9c7dc1ec090eef201253dc6d39be.jpg@480w_300h_1c.webp,353,806000,2018-10-02,https://space.bilibili.com/94194549?from=search,94194549,BV1QW411m7G7,32923818,57621127,730,1305,1971,1209,178,5754,综艺,综艺*明星*华晨宇*烟火里的尘埃*老外反应*娱乐*我要上推荐*新星计划*夏日吃瓜剧*韩国人反应,10
唱一首歌被罚12万！华晨宇为了满足粉丝，啥任性的事儿都会干,https://www.bilibili.com/video/BV1B4411L788?from=search,https://i1.hdslb.com/bfs/archive/747a0b0606b909fbeba9d52cbd56640d33401eff.jpg@480w_300h_1c.webp,163,918000,2019-05-24,https://space.bilibili.com/193262326?from=search,193262326,BV1B4411L788,53415168,93447469,858,1373,1749,587,129,8212,音乐综合,音乐现场*乐评盘点*华晨宇*林俊杰*周杰伦*演唱会*起风了*粉丝*明星*学猫叫,10
外国人第一次看华晨宇《孩子》直呼不可能！这高音是真实存在的吗？【华晨宇Reaction】,https://www.bilibili.com/video/BV1Yr4y1z74s?from=search,https://i0.hdslb.com/bfs/archive/4e871355b2e3c76aca15f32dfc230ba38d092e52.jpg@480w_300h_1c.webp,514,15000,2022-03-04,https://space.bilibili.com/1541510607?from=search,1541510607,BV1Yr4y1z74s,766899863,541686911,105,143,92,284,10,1095,明星综合,明星*音乐*娱乐*现场*外国人在中国*外国人反应*华晨宇花花*华晨宇 孩子*华晨宇reaction*高能娱评官,10
