mid,following,follower,name,sex,sign,level,is_up
5368451,11,13081,晨汐的恶魔书,保密,"网易云：晨汐
抖音／微博：晨汐执笔yu只为华晨宇
海选粉一枚，13年因为花花开始接触吉他
原创都非应援曲，未经授权禁止搬运音频视频

",6.0,1
127623,126,228278,皓月-moonqshine,男,所谓良心作，就是带来欢乐的同时， 帮助你跨过黑暗，征服你想要的山顶。合作：qianxiaoling@acgstar.cn,6.0,1
393579144,1,736,微秀音乐,保密,"音乐给你秀一刻，快关注吧！
",3.0,1
34028169,1327,29616,搞笑院院长,保密,,6.0,1
44450450,257,5500,莓小叔yu,女,一名专注于翻唱华晨宇歌的集美貌与才华于一身二姐孩子的舅妈。,6.0,1
273083028,96,12403,Deirdrepy,女,记得继续向前看 / 自剪视频禁二传二改,6.0,1
431082141,175,110,自由的爱与狂想,保密,能下载到啥传啥。,4.0,1
11444896,38,92911,吉岛音乐,保密,吉岛音乐官方帐号,6.0,1
33276577,139,91993,黑白Dida,男,坚持自己所坚持的,6.0,1
352064162,138,114,你也是星星水手嗎,女,"“最好的旅途 是让我们记住 爱的模样”
我做的一切都是在做我自己
祝我们 美好 荒诞 永远如此",4.0,1
701991586,10,2593,娱闻速递,保密,,4.0,1
11684516,50,1507429,拉草莓的西瓜JUN,男,平平淡淡才是真~新浪微博：@西瓜_JUN,6.0,1
281717416,1,15767,时尚COSMO官方,女,《时尚COSMO》杂志官方账号,6.0,1
402274987,71,869,Iris攒钱买镜头,女,爱摄影爱钢琴爱音乐爱花花～不定期更新各种我喜欢的音乐作品～（划掉，其实是为了督促自己捡起荒废已久的琴技）欢迎来看,5.0,1
666284,35,967,米米桑,女,,5.0,1
291986098,4,1848,穿校服的姑娘,保密,每天为大家更新娱乐资讯，欢迎订阅,3.0,1
9851571,0,1429,铁齿铜牙嗑瓜子,男,不是非黑即白，而是陆离斑驳,5.0,1
5870268,134,5558175,三代鹿人,男,祖上三代，都是路人。合作请联系Q: 3614483160,6.0,1
1662999228,3,13498,娱乐坏姐姐,保密,关注我，姐姐带你探索娱乐圈,0.0,1
11229887,25,7186,乙小姐,女,做一个优秀的人，当优秀成为一种习惯。。,6.0,1
86700736,63,248,躲进疯人院,女,没有定位，当朋友圈发 ,5.0,1
72639169,48,287,ZZZ0210,女,我就是懒人本人了~,5.0,1
264903,744,62673,E57君,保密,《妖则鸣》乐队主唱；微博：@E57君 QQ群：528578143；痛新闻魔都代表；穿着品如的衣服的ACG歌手一枚～,6.0,1
2104013,499,7619,我钱呐,保密,give me five$,6.0,1
32283344,203,622,彗星上的兔子980324,保密,ETETT,6.0,1
379220703,4,3151,橙C音乐,保密,你的音乐后花园,5.0,1
13036263,119,554,绯夕_yu,保密,,5.0,1
253037290,621,6859,锅包肉嘎嘣脆丶,男,"九月粉丝群:1041732079 
视频创作号:UID:358701388",6.0,1
413303534,3,324,全网杂货铺,保密,,4.0,1
566258416,28,1317854,oskarpianist,保密,我是罗曼耶卓，毕业于茱莉亚学院。之前在上海待了五年，现在人在柏林。小红书/微博: oskarpianist,6.0,1
193262326,19,575866,音乐Wu哥,保密,最好的音乐都在这里，爱信不信！商业合作VX：wei1156811,6.0,1
1773847288,21,43,从未回过家的火火,女,ET天团中一个拖后腿的ET,3.0,1
1460296441,4,115473,湖南卫视,保密,湖南卫视官方！,6.0,1
628970233,102,125,爱音乐的小头子,保密,,4.0,1
80032513,259,462,语神不是神,保密,另类说唱艺术假,4.0,1
84968196,18,3463,霜叶红于二月花o,男,音乐,5.0,1
9902864,64,630,一目森,保密,,5.0,1
98790164,24,309,大圆脸浓眉小眼,保密,热爱生活，好好吃饭！,5.0,1
431581976,26,586796,悦耳钢琴-小晖,男,一个唱得比弹得好的钢琴老师  琴谱笔记+V：yueer10101  系统学琴+V：yueer6255或yueer2234,6.0,1
28519194,84,1459,南扬yu,保密,先是华晨宇歌迷 再是剪刀手??,6.0,1
12067612,183,1321,NOSWAG_,保密,非专业up主 小视频平台禁止转载?b站翻唱翻跳求音源请私信,6.0,1
1346332,154,11589,失意的侦探,保密,出门在外，没网，私信留言,6.0,1
383515422,63,28,包包_yHUAo,保密,将有一天／你会遇见美好的一切,4.0,1
385200931,100,323189,MappleZS,保密,视频中曲谱在同名weixin公众号MappleZS搜索，作曲/改编制谱演奏拍摄剪辑都是我，很辛苦，希望大家支持正版杜绝盗谱，给我力量！感恩！,6.0,1
3613478,87,792,meily安安,保密,小小搬运工，侵权请联系我。,6.0,1
215507751,68,689,晓琳视界,保密,奇奇怪怪，却又多姿多彩的“晓视界”！,4.0,1
491815719,128,613,小卢乱撞z,男,"嗨 ！！
关注了就是朋友啦 
目标是做个不拖更的音乐博主。",5.0,1
309281577,3,3980,吃瓜不吐香蕉皮,保密,关爱国产小生小花,6.0,1
1726214953,62,783,WRECKAGE_YU,保密,我也没办法，老是想改名????,4.0,1
262365996,96,462,翟司yu,女,好好学习，一夜暴富。,5.0,1
109710128,92,81,顾家明Sam哥,保密,为你钟情 倾我至诚,5.0,1
19960628,20,1175,红到出圈,保密,,3.0,1
338578229,83,3291,美女学生班,保密,感谢每一个关注点赞投币的伙伴们,5.0,1
284060487,145,21137,音乐人二十月,女,,6.0,1
352248648,26,436566,三毛水果艺术,保密,小至蓝莓樱桃，大至榴莲菠萝蜜，雕遍天下水果；一刀雕生活，一刀雕人生，号称果雕界“三哥”！合作：y1073471421,6.0,1
362423113,110,2241,大熊吃饱了吗,保密,开 心 快 乐 每 一 天,6.0,1
483797835,9,12906,i新知音乐现场,保密,热爱音乐，热爱现场，分享美妙音乐,6.0,1
291650385,6,89405,Lulu_在不列颠,女,分享生活我是认真的^_^ Email: luluingreatbritain@gmail.com,6.0,1
26565458,208,313,呆橘的肉包子,女,默默无闻的小ET  正在努力学新技能  之后会好的,5.0,1
346231644,8,463,翎胡不喜,保密,,5.0,1
693939043,17,79,花落时相遇88,保密,,3.0,1
487187300,92,207,立风MAX,女,华晨宇和一切美好。(以后也会更一点自己的日常，请谨慎关注哇（◎＞U＜◎),5.0,1
352082790,232,96,Gravity-HZY,男,思念变成海,5.0,1
271586154,303,578,凌佑风Ya,保密,一个喜欢音乐的人,5.0,1
24273771,96,2551,好想要一个温暖的抱抱,女,"如果我明年的今天身体能恢复，那么从现在开始，我每天都会比昨天好转1/365。
不能哭啊(●'?'●)??毕竟其他人想看我笑着的样子呢！",6.0,1
7068524,343,260,weier265,保密,,6.0,1
101710707,80,323130,小编Candice,女,"解压up，偶尔健身～
微博：小编Candice  
商务微信：tomatogobd",6.0,1
374252403,15,142,没怎么咋T,保密,,5.0,1
525204341,76,179,名人名车馆,保密,这里是名人名车馆，为你揭秘名人都开什么车？,3.0,1
324023157,101,10020,阿黛狸,女,持续更新影视 综艺 颜值向,6.0,1
94194549,5,214230,韩叔TV,男,三只逗比故事  *微博: @_韩叔TV_ *商务合作: parkjj1151@gmail.com,6.0,1
96263033,10,27004,一人一首成名歌,保密,分享音乐评论音乐，致力于研究探讨世界各地音乐类型和风格！,6.0,1
333470586,53,1987,三焐銜莫,女,一起逃吧。,6.0,1
13052797,17,1901,每日一稀饭,女,最难是把自己驯服。,6.0,1
13581183,52,3852,让我一个人待着吧,女,"把B站当网盘用。
wb/dy：改了一个昵称",6.0,1
3701636,476,621,海淀飞行侠,保密,被误解是表达者的宿命，而不随意误解是倾听者的本分。,6.0,1
1540999,50,174618,五彩哥哥,女,更新相关问题见动态置顶。微博同名五彩哥哥。商务合作: YZCM-9999,6.0,1
1021219721,84,128,一只呆呆橘yu,保密,dy同名 禁二传二改,3.0,1
81142671,1120,332,ForForever华,保密,寻,5.0,1
313043858,111,564,华晨宇没资格减肥,保密,一起活着,5.0,1
51121044,589,693,仅仅只,保密,,5.0,1
696343450,3,3949,猹娱饭后,保密,最新最热最好看的综艺娱乐，尽在猹猹的瓜地！,4.0,1
349277087,161,111960,Tony马,保密,请来一束追光照亮这海底，学会人间技巧参与了游戏。,6.0,1
372681636,27,919,ETvs烤羊腿,保密,"微博-ETvs烤羊腿
污言秽语是一张皮，终会被时间撕碎。",4.0,1
451972012,30,39590,,,,,1
39201709,122,2237,凡尔赛蕾茵yu,保密,潜水冒泡透明人,6.0,1
646456240,68,568525,柳飘飘了吗,女,一个正经吃瓜，深扒人性的up主,6.0,1
394865586,225,359,此人已消失A,保密,,4.0,1
364628920,39,1592,每天喝西北风de泡泡,保密,视频禁止二传二改！这个人只顾着看华晨宇，被飒死了！！！,6.0,1
94471101,13,11250,邋遢范儿儿,保密,.,6.0,1
31693757,2,122553,同道大叔官方帐号,保密,对！我就是你们知道的那个同道大叔。,6.0,1
16360381,174,944,茜花花花,女,华晨宇女朋友,6.0,1
25232327,60,656,设置密码啦,保密,,5.0,1
30442440,46,3180,绿草屋檐落大雨,保密,我的少年闪闪发光。,6.0,1
1202650057,646,646,人间清醒王,保密,喜欢追剧and综艺～,4.0,1
174996426,4,2801,天命圈小兔兔,保密,,3.0,1
138832847,142,1455795,哇哇哇妹,保密,认真做视频，为娱乐圈的长远发展而哔哔！微博：哇哇哇妹 商务wx：18819361229 ,6.0,1
13755344,39,368,暮兴云,女,,5.0,1
1370323921,22,410,阔佬猪,保密,,4.0,1
331865042,165,10893,武一梦儿,男,音乐，才是最强大的安利武器。,6.0,1
278494161,80,1425,戆戆要开心,女,所爱隔山海,5.0,1
521479126,200,296,齊全殼魚,保密,或许那天要世界末日了，我就更新了呢,4.0,1
434983896,10,1993,咪咕娱乐,保密,聚焦明星专访，说不定下一个你们的偶像就会出现在这里啦,4.0,1
319781851,71,4545,面壁小Yu子,保密,面面｜水仙混剪随机掉落｜《TRAPPED》持更中,6.0,1
477922268,178,367,也无风雨也无晴yu,女,yu,5.0,1
